"C","N","Z","A","SYM","ORIG","Excess","unc1","BEA","unc2","btype","benergy","bunc","mass","munc","halflife","spin-parity","Qbeta","Qposi","Qec","Qalpha"
" ",128,88,216,"Ra ","  -a",3291.0,9.0,7737.35,0.04,"B+",320.0,10.0,216.003533,9.0,"182 ns","0+",-4.853,-0.702,0.32,9.526084
" ",127,89,216,"Ac ","  -a",8144.0,11.0,7711.26,0.05,"B+",4853.0,14.0,216.008743,12.0,"440 us","(1-)",-2.154,3.831,4.853,9.235084
" ",126,90,216,"Th ","  -a",10298.0,12.0,7697.66,0.06,"B+",2154.0,16.0,216.011056,13.0,"26.0 ms","0+",-7.502,1.132,2.154,8.072084
" ",125,91,216,"Pa ","  -a",17800.0,50.0,7659.31,0.25,"B+",7500.0,50.0,216.01911,60.0,"167 ms","",-5.266,6.48,7.502,8.095084
" ",124,92,216,"U  ","  -a",23066.0,28.0,7631.31,0.13,"B+",5270.0,60.0,216.02476,30.0,"4.5 ms","0+",0.0,4.244,5.266,8.530084
"0",136,81,217,"Tl ","   x",18310.0,400.0,7695.0,2.0,"B-",6070.0,500.0,217.01966,430.0,"300 ns","",6.07,0.0,0.0,0.0
" ",135,82,217,"Pb ","   x",12240.0,300.0,7719.0,1.0,"B-",3510.0,300.0,217.01314,320.0,"300 ns","",3.51,-7.092,-6.07,2.145084
" ",134,83,217,"Bi ","   x",8730.0,18.0,7731.85,0.08,"B-",2846.0,19.0,217.009372,19.0,"93 s","",2.846,-4.532,-3.51,4.521084
" ",133,84,217,"Po ","  +a",5884.0,7.0,7741.36,0.03,"B-",1489.0,8.0,217.006316,7.0,"1.46 s","(9/2+)",1.489,-3.868,-2.846,6.663084
" ",132,85,217,"At ","    ",4395.0,5.0,7744.616,0.023,"B-",736.0,6.0,217.004718,5.0,"32.3 ms","9/2-",0.736,-2.511,-1.489,7.202084
" ",131,86,217,"Rn ","  -a",3659.0,4.0,7744.403,0.019,"  ","*","*",217.003928,5.0,"0.54 ms","9/2+",-0.656,-1.758,-0.736,7.888084
" ",130,87,217,"Fr ","  -a",4315.0,7.0,7737.77,0.03,"B+",656.0,8.0,217.004632,7.0,"19 us","9/2-",-1.575,-0.366,0.656,8.470084
" ",129,88,217,"Ra ","  -a",5890.0,7.0,7726.91,0.03,"B+",1575.0,10.0,217.006323,8.0,"1.6 us","(9/2+)",-2.814,0.553,1.575,9.161084
" ",128,89,217,"Ac ","  -a",8704.0,11.0,7710.34,0.05,"B+",2814.0,13.0,217.009344,12.0,"69 ns","9/2-",-3.502,1.792,2.814,9.832084
" ",127,90,217,"Th ","  -a",12206.0,11.0,7690.59,0.05,"B+",3502.0,16.0,217.013103,11.0,"0.251 ms","(9/2+)",-4.862,2.48,3.502,9.435084
" ",126,91,217,"Pa ","  -a",17068.0,16.0,7664.58,0.07,"B+",4863.0,19.0,217.018324,17.0,"3.6 ms","",-5.902,3.84,4.862,8.488084
" ",125,92,217,"U  ","  -a",22970.0,70.0,7634.0,0.0,"B+",5910.0,70.0,217.02466,80.0,"16 ms","",0.0,4.88,5.902,8.425084
"0",137,81,218,"Tl ","   x",23180.0,400.0,7674.0,2.0,"B-",7730.0,500.0,218.02489,430.0,"None","None",7.73,0.0,0.0,0.0
" ",136,82,218,"Pb ","   x",15450.0,300.0,7706.0,1.0,"B-",2240.0,300.0,218.01659,320.0,"300 ns","0+",2.234,-8.752,-7.73,1.845084
" ",135,83,218,"Bi ","   x",13216.0,27.0,7712.83,0.12,"B-",4859.0,27.0,218.014188,29.0,"33 s","",4.8591,-3.256,-2.234,4.321084
" ",134,84,218,"Po ","    ",8356.9,2.0,7731.528,0.009,"B-",259.0,12.0,218.0089715,2.1,"3.098 m","0+",0.2589,-5.8811,-4.8591,6.114784
" ",133,85,218,"At ","  -a",8098.0,12.0,7729.13,0.05,"B-",2881.0,12.0,218.008694,12.0,"1.5 s","",2.8807,-1.2809,-0.2589,6.874084
" ",132,86,218,"Rn ","    ",5217.3,2.3,7738.752,0.011,"B-",-1842.0,5.0,218.0056011,2.5,"35 ms","0+",-1.8417,-3.9027,-2.8807,7.262384
" ",131,87,218,"Fr ","  -a",7059.0,5.0,7726.715,0.022,"B-",408.0,12.0,218.007578,5.0,"1.0 ms","1-",0.408,0.8197,1.8417,8.014084
" ",130,88,218,"Ra ","  -a",6651.0,11.0,7725.0,0.05,"  ","*","*",218.00714,12.0,"25.2 us","0+",-4.189,-1.43,-0.408,8.546084
" ",129,89,218,"Ac ","  -a",10840.0,50.0,7702.18,0.23,"B+",4190.0,50.0,218.01164,50.0,"1.08 us","(1-)",-1.527,3.167,4.189,9.374084
" ",128,90,218,"Th ","  -a",12367.0,11.0,7691.6,0.05,"B+",1520.0,50.0,218.013276,11.0,"117 ns","0+",-6.317,0.505,1.527,9.849084
" ",127,91,218,"Pa ","  -a",18684.0,18.0,7659.04,0.08,"B+",6317.0,21.0,218.020058,20.0,"113 us","",-3.211,5.295,6.317,9.815084
" ",126,92,218,"U  ","  -a",21895.0,14.0,7640.72,0.06,"B+",3211.0,23.0,218.023505,15.0,"0.51 ms","0+",0.0,2.189,3.211,8.775084
"0",137,82,219,"Pb ","   x",20280.0,400.0,7686.0,2.0,"B-",4000.0,450.0,219.02177,430.0,"300 ns","",4.0,0.0,0.0,1.645084
" ",136,83,219,"Bi ","   x",16280.0,200.0,7700.0,1.0,"B-",3600.0,200.0,219.01748,210.0,"22 s","(9/2-)",3.599,-5.022,-4.0,3.945084
" ",135,84,219,"Po ","   x",12681.0,16.0,7713.33,0.07,"B-",2285.0,16.0,219.013614,17.0,"620 s","(9/2+)",2.285,-4.621,-3.599,5.916084
" ",134,85,219,"At ","    ",10396.0,3.0,7720.196,0.015,"B-",1566.7,2.9,219.011161,3.0,"56 s","(9/2-)",1.5666,-3.307,-2.285,6.342084
" ",133,86,219,"Rn ","    ",8829.4,2.1,7723.777,0.01,"B-",212.0,7.0,219.0094788,2.3,"3.96 s","5/2+",0.2114,-2.5886,-1.5666,6.946184
" ",132,87,219,"Fr ","  -a",8618.0,7.0,7721.17,0.03,"  ","*","*",219.009252,8.0,"20 ms","9/2-",-0.776,-1.2334,-0.2114,7.449084
" ",131,88,219,"Ra ","  -a",9394.0,8.0,7714.05,0.04,"B+",777.0,11.0,219.010085,9.0,"10 ms","(7/2)+",-2.176,-0.246,0.776,8.138084
" ",130,89,219,"Ac ","  -a",11570.0,50.0,7700.55,0.23,"B+",2180.0,50.0,219.01242,50.0,"11.8 us","9/2-",-2.9,1.154,2.176,8.827084
" ",129,90,219,"Th ","  -a",14470.0,50.0,7683.73,0.23,"B+",2900.0,70.0,219.01554,50.0,"1.05 us","(9/2+)",-4.07,1.878,2.9,9.511084
" ",128,91,219,"Pa ","  -a",18540.0,50.0,7661.57,0.24,"B+",4070.0,70.0,219.0199,60.0,"53 ns","9/2-",-4.75,3.048,4.07,10.084084
" ",127,92,219,"U  ","  -a",23290.0,50.0,7636.33,0.23,"B+",4750.0,70.0,219.025,50.0,"42 us","(9/2+)",-6.17,3.728,4.75,9.943084
" ",126,93,219,"Np ","  -a",29460.0,90.0,7604.6,0.4,"B+",6170.0,100.0,219.03162,90.0,"5 us","",0.0,5.148,6.17,9.175084
"0",138,82,220,"Pb ","   x",23670.0,400.0,7672.0,2.0,"B-",2850.0,500.0,220.02541,430.0,"300 ns","0+",2.85,0.0,0.0,1.385084
" ",137,83,220,"Bi ","   x",20820.0,300.0,7682.0,1.0,"B-",5560.0,300.0,220.02235,320.0,"300 ns","",5.557,-3.872,-2.85,3.675084
" ",136,84,220,"Po ","   x",15263.0,18.0,7703.22,0.08,"B-",888.0,23.0,220.016386,19.0,"300 ns","0+",0.887,-6.579,-5.557,5.358084
" ",135,85,220,"At ","   x",14376.0,14.0,7703.7,0.06,"B-",3764.0,14.0,220.015433,15.0,"3.71 m","3",3.7639,-1.909,-0.887,6.077084
" ",134,86,220,"Rn ","    ",10612.1,1.8,7717.254,0.008,"B-",-870.0,4.0,220.0113925,1.9,"55.6 s","0+",-0.8699,-4.7859,-3.7639,6.404784
" ",133,87,220,"Fr ","  -a",11482.0,4.0,7709.742,0.018,"B-",1212.0,9.0,220.012327,4.0,"27.4 s","1+",1.212,-0.1521,0.8699,6.800084
" ",132,88,220,"Ra ","  -a",10270.0,8.0,7711.7,0.04,"  ","*","*",220.011026,9.0,"18 ms","0+",-3.474,-2.234,-1.212,7.592084
" ",131,89,220,"Ac ","  -a",13744.0,6.0,7692.351,0.028,"B+",3473.0,10.0,220.014754,7.0,"26.4 ms","",-0.925,2.452,3.474,8.348084
" ",130,90,220,"Th ","  -a",14669.0,22.0,7684.59,0.1,"B+",925.0,23.0,220.015748,24.0,"9.7 us","0+",-5.551,-0.097,0.925,8.953084
" ",129,91,220,"Pa ","  -a",20220.0,50.0,7656.0,0.0,"B+",5550.0,60.0,220.02171,60.0,"0.78 us","",-2.71,4.529,5.551,9.651084
" ",128,92,220,"U  ","  -a",22930.0,100.0,7640.0,0.0,"B+",2720.0,110.0,220.02462,110.0,"None","None",-7.38,1.688,2.71,10.207084
" ",127,93,220,"Np ","   x",30310.0,200.0,7603.0,1.0,"B+",7380.0,220.0,220.03254,210.0,"None","None",0.0,6.358,7.38,10.085084
"0",138,83,221,"Bi ","   x",24100.0,300.0,7668.0,1.0,"B-",4320.0,300.0,221.02587,320.0,"300 ns","",4.326,0.0,0.0,3.365084
" ",137,84,221,"Po ","   x",19774.0,20.0,7684.48,0.09,"B-",2991.0,24.0,221.021228,21.0,"112 s","",2.991,-5.348,-4.326,5.109084
" ",136,85,221,"At ","   x",16783.0,14.0,7694.47,0.06,"B-",2311.0,15.0,221.018017,15.0,"2.3 m","",2.312,-4.013,-2.991,5.628084
" ",135,86,221,"Rn ","  +a",14471.0,6.0,7701.393,0.026,"B-",1194.0,7.0,221.015536,6.0,"25.7 m","7/2(+)",1.194,-3.334,-2.312,6.162084
" ",134,87,221,"Fr ","    ",13277.0,5.0,7703.256,0.022,"B-",313.0,6.0,221.014254,5.0,"4.9 m","5/2-",0.313,-2.216,-1.194,6.457084
" ",133,88,221,"Ra ","  -a",12964.0,5.0,7701.135,0.021,"  ","*","*",221.013917,5.0,"28 s","5/2+",-1.556,-1.335,-0.313,6.880084
" ",132,89,221,"Ac ","  -a",14520.0,50.0,7690.54,0.23,"B+",1560.0,50.0,221.01559,50.0,"52 ms","",-2.42,0.534,1.556,7.780084
" ",131,90,221,"Th ","  -a",16940.0,8.0,7676.06,0.04,"B+",2420.0,50.0,221.018186,9.0,"1.73 ms","(7/2+)",-3.44,1.398,2.42,8.625084
" ",130,91,221,"Pa ","  -a",20380.0,50.0,7656.97,0.23,"B+",3440.0,50.0,221.02187,60.0,"5.9 us","9/2-",-4.14,2.418,3.44,9.251084
" ",129,92,221,"U  ","  -a",24520.0,50.0,7634.68,0.23,"B+",4140.0,70.0,221.02632,50.0,"0.66 us","(9/2+)",-5.33,3.118,4.14,9.889084
" ",128,93,221,"Np ","   x",29850.0,200.0,7607.0,1.0,"B+",5330.0,210.0,221.03205,220.0,"None","None",0.0,4.308,5.33,10.357084
"0",139,83,222,"Bi ","   x",28730.0,300.0,7649.0,1.0,"B-",6240.0,300.0,222.03084,320.0,"300 ns","",6.24,0.0,0.0,3.125084
" ",138,84,222,"Po ","   x",22490.0,40.0,7674.0,0.18,"B-",1530.0,40.0,222.02414,40.0,"550 s","0+",1.537,-7.262,-6.24,4.615084
" ",137,85,222,"At ","   x",20953.0,16.0,7677.39,0.07,"B-",4581.0,16.0,222.022494,17.0,"54 s","",4.5808,-2.559,-1.537,5.312084
" ",136,86,222,"Rn ","    ",16372.2,1.9,7694.497,0.009,"B-",-6.0,8.0,222.0175763,2.1,"3.8235 d","0+",-0.0058,-5.6028,-4.5808,5.590384
" ",135,87,222,"Fr ","   x",16378.0,7.0,7690.95,0.03,"B-",2058.0,9.0,222.017583,8.0,"14.2 m","2-",2.058,-1.0162,0.0058,5.855084
" ",134,88,222,"Ra ","    ",14320.0,4.0,7696.692,0.02,"  ","*","*",222.015373,5.0,"36.17 s","0+",-2.301,-3.08,-2.058,6.677784
" ",133,89,222,"Ac ","  -a",16621.0,5.0,7682.802,0.023,"B+",2301.0,7.0,222.017844,6.0,"5.0 s","1-",-0.582,1.279,2.301,7.137084
" ",132,90,222,"Th ","  -a",17203.0,12.0,7676.66,0.06,"B+",582.0,13.0,222.018468,13.0,"2.237 ms","0+",-4.957,-0.44,0.582,8.127084
" ",131,91,222,"Pa ","  -a",22160.0,70.0,7651.0,0.0,"B+",4950.0,70.0,222.02378,80.0,"2.9 ms","",-2.11,3.935,4.957,8.895084
" ",130,92,222,"U  ","  -a",24270.0,50.0,7637.76,0.23,"B+",2120.0,90.0,222.02606,60.0,"1.0 us","0+",-6.75,1.088,2.11,9.478084
" ",129,93,222,"Np ","   x",31020.0,200.0,7604.0,1.0,"B+",6750.0,200.0,222.0333,210.0,"None","None",0.0,5.728,6.75,9.911084
"0",140,83,223,"Bi ","   x",32140.0,400.0,7636.0,2.0,"B-",5060.0,450.0,223.0345,430.0,"300 ns","",5.06,0.0,0.0,0.0
" ",139,84,223,"Po ","   x",27080.0,200.0,7655.0,1.0,"B-",3650.0,200.0,223.02907,210.0,"300 ns","",3.652,-6.082,-5.06,4.375084
" ",138,85,223,"At ","   x",23428.0,14.0,7668.05,0.06,"B-",3038.0,16.0,223.025151,15.0,"50 s","",3.038,-4.674,-3.652,4.723084
" ",137,86,223,"Rn ","    ",20390.0,8.0,7678.17,0.04,"B-",2007.0,8.0,223.021889,8.0,"24.3 m","7/2",2.0076,-4.06,-3.038,5.284084
" ",136,87,223,"Fr ","    ",18382.4,1.9,7683.664,0.009,"B-",1149.1,0.8,223.0197343,2.1,"22.00 m","3/2(-)",1.1491,-3.0296,-2.0076,5.561484
" ",135,88,223,"Ra ","    ",17233.3,2.1,7685.309,0.009,"  ","*","*",223.01850069999998,2.2,"11.43 d","3/2+",-0.5927,-2.1711,-1.1491,5.978984
" ",134,89,223,"Ac ","  -a",17826.0,7.0,7679.14,0.03,"B+",593.0,7.0,223.019137,8.0,"2.10 m","(5/2-)",-1.56,-0.4293,0.5927,6.783084
" ",133,90,223,"Th ","  -a",19386.0,9.0,7668.64,0.04,"B+",1560.0,12.0,223.020812,10.0,"0.60 s","(5/2)+",-2.934,0.538,1.56,7.567084
" ",132,91,223,"Pa ","  -a",22320.0,70.0,7652.0,0.3,"B+",2930.0,70.0,223.02396,80.0,"5.1 ms","",-3.52,1.912,2.934,8.325084
" ",131,92,223,"U  ","  -a",25840.0,70.0,7632.7,0.3,"B+",3520.0,100.0,223.02774,80.0,"55 us","(9/2+)",-4.76,2.498,3.52,8.945084
" ",130,93,223,"Np ","   x",30600.0,200.0,7608.0,1.0,"B+",4760.0,210.0,223.03285,210.0,"None","None",0.0,3.738,4.76,9.635084
"0",141,83,224,"Bi ","   x",36830.0,400.0,7617.0,2.0,"B-",6920.0,450.0,224.03954,430.0,"300 ns","",6.92,0.0,0.0,0.0
" ",140,84,224,"Po ","   x",29910.0,200.0,7644.0,1.0,"B-",2200.0,200.0,224.03211,210.0,"300 ns","0+",2.199,-7.942,-6.92,3.815084
" ",139,85,224,"At ","   x",27711.0,22.0,7650.73,0.1,"B-",5266.0,24.0,224.029749,24.0,"1.3 m","",5.266,-3.221,-2.199,4.466084
" ",138,86,224,"Rn ","    ",22445.0,10.0,7670.75,0.04,"B-",696.0,15.0,224.024096,11.0,"107 m","0+",0.696,-6.288,-5.266,4.757084
" ",137,87,224,"Fr ","   x",21749.0,11.0,7670.37,0.05,"B-",2923.0,11.0,224.023348,12.0,"3.33 m","1(-)",2.9231,-1.718,-0.696,4.948084
" ",136,88,224,"Ra ","    ",18825.9,1.8,7679.922,0.008,"B-",-1408.0,4.0,224.0202105,1.9,"3.66 d","0+",-1.4081,-3.9451,-2.9231,5.788884
" ",135,89,224,"Ac ","  -a",20234.0,4.0,7670.143,0.018,"B-",240.0,11.0,224.021722,4.0,"2.78 h","0-",0.24,0.3861,1.4081,6.327084
" ",134,90,224,"Th ","  -a",19994.0,10.0,7667.72,0.05,"  ","*","*",224.021464,11.0,"1.05 s","0+",-3.868,-1.262,-0.24,7.299084
" ",133,91,224,"Pa ","  -a",23862.0,8.0,7646.96,0.03,"B+",3869.0,13.0,224.025617,8.0,"0.79 s","(5-)",-1.86,2.846,3.868,7.693084
" ",132,92,224,"U  ","  -a",25722.0,23.0,7635.16,0.1,"B+",1860.0,24.0,224.027614,25.0,"396 us","0+",-6.158,0.838,1.86,8.628084
" ",131,93,224,"Np ","   x",31880.0,200.0,7604.0,1.0,"B+",6150.0,200.0,224.03422,210.0,"None","None",0.0,5.136,6.158,9.235084
"0",141,84,225,"Po ","   x",34530.0,300.0,7626.0,1.0,"B-",4140.0,420.0,225.03707,320.0,"300 ns","",4.13,0.0,0.0,0.0
" ",140,85,225,"At ","   x",30400.0,300.0,7641.0,1.0,"B-",3860.0,300.0,225.03263,320.0,"300 ns","",3.866,-5.152,-4.13,3.875084
" ",139,86,225,"Rn ","    ",26534.0,11.0,7654.36,0.05,"B-",2714.0,16.0,225.028486,12.0,"4.66 m","7/2-",2.713,-4.888,-3.866,4.335084
" ",138,87,225,"Fr ","    ",23821.0,12.0,7662.94,0.05,"B-",1828.0,12.0,225.025572,13.0,"4.0 m","3/2-",1.8279,-3.735,-2.713,4.613084
" ",137,88,225,"Ra ","    ",21993.1,2.6,7667.586,0.012,"B-",356.0,5.0,225.02361059999998,2.8,"14.9 d","1/2+",0.3561,-2.8499,-1.8279,5.097184
" ",136,89,225,"Ac ","    ",21637.0,5.0,7665.69,0.021,"  ","*","*",225.023229,5.0,"10.0 d","(3/2-)",-0.673,-1.3781,-0.3561,5.935084
" ",135,90,225,"Th ","  -a",22310.0,5.0,7659.222,0.023,"B+",673.0,7.0,225.023951,5.0,"8.72 m","3/2+",-2.03,-0.349,0.673,6.921084
" ",134,91,225,"Pa ","  -a",24340.0,70.0,7646.7,0.3,"B+",2030.0,70.0,225.02613,80.0,"1.7 s","",-3.04,1.008,2.03,7.395084
" ",133,92,225,"U  ","  -a",27380.0,11.0,7629.74,0.05,"B+",3040.0,70.0,225.029394,12.0,"69 ms","",-4.21,2.018,3.04,8.015084
" ",132,93,225,"Np ","  -a",31590.0,70.0,7607.6,0.3,"B+",4210.0,70.0,225.03391,80.0,"3.6 ms","",0.0,3.188,4.21,8.785084
"0",142,84,226,"Po ","   x",37550.0,400.0,7614.0,2.0,"B-",2930.0,500.0,226.04031,430.0,"300 ns","0+",2.94,0.0,0.0,0.0
" ",141,85,226,"At ","   x",34610.0,300.0,7624.0,1.0,"B-",5870.0,300.0,226.03716,320.0,"300 ns","",5.863,-3.962,-2.94,3.455084
" ",140,86,226,"Rn ","    ",28747.0,10.0,7646.41,0.05,"B-",1227.0,12.0,226.030861,11.0,"7.4 m","0+",1.226,-6.885,-5.863,3.832084
" ",139,87,226,"Fr ","    ",27521.0,6.0,7648.376,0.028,"B-",3853.0,7.0,226.029545,7.0,"49 s","1-",3.8532,-2.248,-1.226,4.143084
" ",138,88,226,"Ra ","    ",23667.8,1.9,7661.962,0.009,"B-",-641.0,3.0,226.0254085,2.1,"1600 y","0+",-0.6412,-4.8752,-3.8532,4.870684
" ",137,89,226,"Ac ","    ",24309.0,3.0,7655.662,0.014,"B-",1112.0,5.0,226.026097,3.0,"29.37 h","(1)",1.111,-0.3808,0.6412,5.506084
" ",136,90,226,"Th ","    ",23198.0,4.0,7657.119,0.02,"  ","*","*",226.024904,5.0,"30.57 m","0+",-2.835,-2.133,-1.111,6.453084
" ",135,91,226,"Pa ","  -a",26033.0,11.0,7641.11,0.05,"B+",2836.0,12.0,226.027948,12.0,"1.8 m","",-1.296,1.813,2.835,6.987084
" ",134,92,226,"U  ","  -a",27329.0,13.0,7631.92,0.06,"B+",1296.0,17.0,226.029339,14.0,"0.35 s","0+",-5.451,0.274,1.296,7.701084
" ",133,93,226,"Np ","  -a",32780.0,90.0,7604.0,0.0,"B+",5450.0,90.0,226.03519,100.0,"35 ms","",0.0,4.429,5.451,8.195084
"0",143,84,227,"Po ","   x",42280.0,400.0,7596.0,2.0,"B-",4800.0,500.0,227.04539,430.0,"300 ns","",4.8,0.0,0.0,0.0
" ",142,85,227,"At ","   x",37480.0,300.0,7613.0,1.0,"B-",4600.0,300.0,227.04024,320.0,"300 ns","",4.594,-5.822,-4.8,2.915084
" ",141,86,227,"Rn ","    ",32886.0,14.0,7630.05,0.06,"B-",3203.0,15.0,227.035304,15.0,"20.2 s","(5/2)",3.204,-5.616,-4.594,3.381084
" ",140,87,227,"Fr ","    ",29682.0,6.0,7640.715,0.026,"B-",2505.0,6.0,227.031865,6.0,"2.47 m","1/2+",2.5043,-4.226,-3.204,3.829084
" ",139,88,227,"Ra ","  -n",27177.7,2.0,7648.303,0.009,"B-",1328.1,2.3,227.0291765,2.1,"42.2 m","3/2+",1.3281,-3.5263,-2.5043,4.362784
" ",138,89,227,"Ac ","    ",25849.6,1.9,7650.707,0.008,"B-",44.8,0.8,227.02775069999998,2.1,"21.772 y","3/2-",0.0448,-2.3501,-1.3281,5.042284
" ",137,90,227,"Th ","    ",25804.8,2.1,7647.458,0.009,"  ","*","*",227.0277026,2.2,"18.68 d","(1/2+)",-1.0262,-1.0668,-0.0448,6.146584
" ",136,91,227,"Pa ","  -a",26831.0,7.0,7639.49,0.03,"B+",1026.0,7.0,227.028804,8.0,"38.3 m","(5/2-)",-2.214,0.0042,1.0262,6.580084
" ",135,92,227,"U  ","  -a",29045.0,10.0,7626.29,0.04,"B+",2214.0,12.0,227.031182,10.0,"1.1 m","(3/2+)",-3.515,1.192,2.214,7.234084
" ",134,93,227,"Np ","  -a",32560.0,70.0,7607.4,0.3,"B+",3520.0,70.0,227.03496,80.0,"0.51 s","",-4.21,2.493,3.515,7.815084
" ",133,94,227,"Pu ","   x",36770.0,100.0,7585.0,0.0,"B+",4210.0,120.0,227.03947,110.0,"None","None",0.0,3.188,4.21,8.505084
"0",143,85,228,"At ","   x",41680.0,400.0,7597.0,2.0,"B-",6440.0,400.0,228.04475,430.0,"300 ns","",6.437,0.0,0.0,2.425084
" ",142,86,228,"Rn ","    ",35243.0,18.0,7621.64,0.08,"B-",1859.0,19.0,228.037835,19.0,"65 s","0+",1.859,-7.459,-6.437,2.908084
" ",141,87,228,"Fr ","    ",33384.0,7.0,7626.368,0.03,"B-",4444.0,7.0,228.035839,7.0,"38 s","2-",4.4437,-2.881,-1.859,3.248084
" ",140,88,228,"Ra ","  +a",28940.3,2.0,7642.428,0.009,"B-",45.5,0.6,228.0310687,2.1,"5.75 y","0+",0.0456,-5.4657,-4.4437,4.070384
" ",139,89,228,"Ac ","   -",28894.7,2.1,7639.196,0.009,"B-",2123.7,2.6,228.03101980000002,2.2,"6.15 h","3+",2.1237,-1.0676,-0.0456,4.720784
" ",138,90,228,"Th ","    ",26771.0,1.8,7645.08,0.008,"  ","*","*",228.0287398,1.9,"1.9125 y","0+",-2.153,-3.1457,-2.1237,5.520184
" ",137,91,228,"Pa ","  -a",28924.0,4.0,7632.207,0.019,"B+",2153.0,4.0,228.031051,5.0,"22 h","3+",-0.298,1.131,2.153,6.265084
" ",136,92,228,"U  ","  -a",29222.0,14.0,7627.47,0.06,"B+",299.0,15.0,228.031371,15.0,"9.1 m","0+",-4.378,-0.724,0.298,6.803084
" ",135,93,228,"Np ","  -a",33600.0,50.0,7604.85,0.22,"B+",4370.0,50.0,228.03607,50.0,"61.4 s","",-2.487,3.356,4.378,7.313084
" ",134,94,228,"Pu ","  -a",36087.0,29.0,7590.49,0.13,"B+",2490.0,60.0,228.03874,30.0,"1.1 s","0+",0.0,1.465,2.487,7.940084
"0",144,85,229,"At ","   x",44820.0,400.0,7585.0,2.0,"B-",5460.0,400.0,229.04812,430.0,"300 ns","",5.458,0.0,0.0,0.0
" ",143,86,229,"Rn ","   x",39362.0,13.0,7605.62,0.06,"B-",3694.0,14.0,229.042257,14.0,"12.0 s","",3.694,-6.48,-5.458,2.407084
" ",142,87,229,"Fr ","    ",35668.0,5.0,7618.337,0.022,"B-",3106.0,16.0,229.038291,5.0,"50.2 s","(1/2+)",3.106,-4.716,-3.694,2.843084
" ",141,88,229,"Ra ","   x",32562.0,15.0,7628.49,0.07,"B-",1872.0,20.0,229.034957,17.0,"4.0 m","5/2(+)",1.872,-4.128,-3.106,3.603084
" ",140,89,229,"Ac ","   x",30690.0,12.0,7633.24,0.05,"B-",1104.0,12.0,229.032947,13.0,"62.7 m","(3/2+)",1.1044,-2.894,-1.872,4.444084
" ",139,90,229,"Th ","    ",29585.6,2.4,7634.65,0.011,"  ","*","*",229.0317614,2.6,"7340 y","5/2+",-0.3114,-2.1264,-1.1044,5.167584
" ",138,91,229,"Pa ","    ",29897.0,3.0,7629.874,0.014,"B+",311.0,4.0,229.032096,4.0,"1.50 d","(5/2+)",-1.314,-0.7106,0.3114,5.835084
" ",137,92,229,"U  ","  -a",31211.0,6.0,7620.721,0.026,"B+",1314.0,7.0,229.033506,6.0,"58 m","(3/2+)",-2.569,0.292,1.314,6.476084
" ",136,93,229,"Np ","  -a",33780.0,90.0,7606.1,0.4,"B+",2570.0,90.0,229.03626,90.0,"4.0 m","(5/2)",-3.62,1.547,2.569,7.015084
" ",135,94,229,"Pu ","  -a",37400.0,50.0,7586.88,0.22,"B+",3620.0,100.0,229.04015,50.0,"90 s","(3/2+)",-4.75,2.598,3.62,7.595084
" ",134,95,229,"Am ","  -a",42150.0,90.0,7562.7,0.4,"B+",4750.0,100.0,229.04525,90.0,"0.9 s","",0.0,3.728,4.75,8.135084
"0",144,86,230,"Rn ","   x",42050.0,200.0,7596.0,1.0,"B-",2560.0,200.0,230.04514,210.0,"None","None",2.563,0.0,0.0,2.075084
" ",143,87,230,"Fr ","    ",39487.0,7.0,7603.704,0.028,"B-",4970.0,12.0,230.042391,7.0,"19.1 s","",4.971,-3.585,-2.563,2.452084
" ",142,88,230,"Ra ","   x",34516.0,10.0,7621.91,0.04,"B-",678.0,19.0,230.037055,11.0,"93 m","0+",0.678,-5.993,-4.971,3.344084
" ",141,89,230,"Ac ","   x",33838.0,16.0,7621.46,0.07,"B-",2976.0,16.0,230.036327,17.0,"122 s","(1+)",2.9754,-1.7,-0.678,3.892084
" ",140,90,230,"Th ","    ",30862.6,1.2,7630.996,0.005,"B-",-1311.0,2.8,230.0331324,1.3,"7.538e+4 y","0+",-1.3114,-3.9974,-2.9754,4.769884
" ",139,91,230,"Pa ","    ",32174.0,3.0,7621.895,0.013,"B-",559.0,5.0,230.03454,3.0,"17.4 d","2-",0.559,0.2894,1.3114,5.440084
" ",138,92,230,"U  ","  -a",31615.0,5.0,7620.922,0.02,"  ","*","*",230.03394,5.0,"20.8 d","0+",-3.625,-1.581,-0.559,5.992084
" ",137,93,230,"Np ","  -a",35240.0,50.0,7601.78,0.22,"B+",3620.0,50.0,230.03783,60.0,"4.6 m","",-1.694,2.603,3.625,6.782084
" ",136,94,230,"Pu ","  -a",36934.0,15.0,7590.99,0.06,"B+",1700.0,50.0,230.039651,16.0,"102 s","0+",-5.996,0.672,1.694,7.180084
" ",135,95,230,"Am ","  -a",42930.0,130.0,7562.0,1.0,"B+",6000.0,130.0,230.04609,140.0,"31 s","",0.0,4.974,5.996,7.725084
"0",145,86,231,"Rn ","   x",46450.0,300.0,7579.0,1.0,"B-",4370.0,300.0,231.04987,320.0,"None","None",4.369,0.0,0.0,1.745084
" ",144,87,231,"Fr ","   x",42081.0,8.0,7594.5,0.03,"B-",3864.0,14.0,231.045175,8.0,"17.6 s","(1/2+)",3.865,-5.391,-4.369,2.176084
